Date,Not indexed,Indexed,Impressions
2026-02-27,,,20
2026-02-28,,,18
2026-03-01,,,15
2026-03-02,32,13,11
2026-03-03,40,15,11
2026-03-04,40,15,21
2026-03-05,40,15,14
2026-03-06,40,15,9
2026-03-07,39,15,10
2026-03-08,39,15,20
2026-03-09,39,15,13
2026-03-10,39,15,14
2026-03-11,39,15,19
2026-03-12,39,15,15
2026-03-13,39,15,10
2026-03-14,39,15,18
2026-03-15,39,15,14
2026-03-16,39,15,15
2026-03-17,40,14,13
2026-03-18,40,14,15
2026-03-19,40,14,14
2026-03-20,40,14,11
2026-03-21,39,15,9
2026-03-22,39,15,21
2026-03-23,39,15,11
2026-03-24,40,14,17
2026-03-25,40,14,12
2026-03-26,40,14,9
2026-03-27,40,14,26
2026-03-28,39,14,9
2026-03-29,39,14,10
2026-03-30,39,14,15
2026-03-31,39,14,11
2026-04-01,39,14,8
2026-04-02,39,14,8
2026-04-03,39,14,11
